t_ms,seg00,seg01,seg02,seg03,seg04,seg05,seg06,seg07,seg08,seg09,seg10,seg11,seg12,seg13,seg14,seg15,seg16,seg17,seg18,seg19,seg20,seg21,seg22,seg23
1721.239,0.057861,0.112078,0.076308,-0.003670,-0.138039,-0.258925,-0.403309,-0.503529,-0.573649,-0.611206,-0.665680,-0.672237,-0.621807,-0.541842,-0.479761,-0.341594,-0.149914,0.057475,0.188478,0.349847,0.519185,0.667680,0.738129,0.793512
1755.664,-0.215178,0.023871,0.077375,0.023705,-0.062846,-0.181045,-0.323356,-0.463672,-0.549223,-0.640833,-0.716043,-0.726090,-0.681181,-0.616942,-0.555357,-0.412307,-0.216819,0.002539,0.173479,0.331330,0.487324,0.638532,0.747522,0.837797
1790.088,-0.071055,0.078824,0.095301,0.032966,-0.072627,-0.197902,-0.342115,-0.467161,-0.545327,-0.617745,-0.690012,-0.702613,-0.663635,-0.597211,-0.539192,-0.402151,-0.212422,-0.000481,0.157196,0.314153,0.481086,0.632022,0.727686,0.812345
1824.513,-0.119519,0.047730,0.044800,-0.036349,-0.162943,-0.265389,-0.409975,-0.525564,-0.612725,-0.668480,-0.722263,-0.723578,-0.649856,-0.562615,-0.490660,-0.333964,-0.122431,0.104178,0.242368,0.417812,0.566558,0.716971,0.797643,0.841208
1858.938,-0.037729,0.117739,0.136498,0.072867,-0.036462,-0.163497,-0.311112,-0.441320,-0.528674,-0.613202,-0.700365,-0.724369,-0.693578,-0.633750,-0.582840,-0.446909,-0.258289,-0.043338,0.118334,0.283923,0.454441,0.609870,0.713328,0.808566
1893.363,-0.088176,0.103216,0.136954,0.076920,-0.024666,-0.148647,-0.295569,-0.432091,-0.523728,-0.617665,-0.708645,-0.734147,-0.703369,-0.646422,-0.596130,-0.459155,-0.269892,-0.052695,0.114410,0.281847,0.448670,0.604900,0.715018,0.814772
1927.788,-0.035417,0.146983,0.171129,0.109744,0.009468,-0.102772,-0.245120,-0.372114,-0.469914,-0.563486,-0.664155,-0.705847,-0.689025,-0.645858,-0.611322,-0.488712,-0.317846,-0.113757,0.042228,0.222273,0.389590,0.548490,0.660502,0.765642
1962.212,-0.001922,0.157740,0.182139,0.123491,0.021683,-0.104685,-0.250667,-0.382061,-0.474826,-0.570699,-0.674185,-0.714166,-0.702785,-0.658995,-0.622799,-0.499790,-0.326950,-0.121153,0.042821,0.213787,0.389371,0.548141,0.661365,0.775370
1996.637,-0.102441,0.142603,0.190913,0.136558,0.052857,-0.048175,-0.186572,-0.320671,-0.429161,-0.540704,-0.654063,-0.707355,-0.699288,-0.669692,-0.645150,-0.529128,-0.367885,-0.167368,-0.006318,0.182849,0.344046,0.505743,0.631813,0.749854
2031.062,0.095933,0.233201,0.242225,0.178795,0.070297,-0.048086,-0.193125,-0.316491,-0.419798,-0.519152,-0.640044,-0.701878,-0.707897,-0.679025,-0.661333,-0.551631,-0.395328,-0.199342,-0.045558,0.142783,0.322993,0.487155,0.604003,0.727142
